text,characters,words,page_number,font_size,is_bold,font_threshold_flag,y_position,x_position,relative_font_size,text_case,verbs,nouns,adjectives,adverbs,pronouns,cardinal_numbers,coordinating_conjunctions,starts_with_number,ends_with_colon,has_punctuation,relative_y_position,avg_word_length,word_density,verb_ratio,noun_ratio,adjective_ratio,is_short,is_very_short,is_heading,predicted_heading,heading_probability
Scroll,6,1,2,3.4036524295806885,0,0,131.8026123046875,405.4806823730469,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9252738595532157,6.0,0.16666666666666666,0.0,0.0,0.0,1,1,0,0,0.00267129631575988
Lock,4,1,2,3.4036524295806885,0,0,135.2004852294922,405.4806823730469,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9198046261310597,4.0,0.25,0.0,0.0,0.0,1,1,0,0,0.0025708156906038286
Pause,5,1,2,3.4036524295806885,0,0,131.8026123046875,424.47650146484375,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9252738595532157,5.0,0.2,0.0,0.0,0.0,1,1,0,0,0.00267129631575988
Break,5,1,2,3.4036524295806885,0,0,135.2004852294922,424.47650146484375,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9198046261310597,5.0,0.2,0.0,0.0,0.0,1,1,0,0,0.0025708156906038286
Insert,6,1,2,3.4036524295806885,0,0,152.8057098388672,386.48486328125,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.8914671676771971,6.0,0.16666666666666666,0.0,0.0,0.0,1,1,0,0,0.0020691015156303386
Home,4,1,2,3.4036524295806885,0,0,152.8057098388672,405.4806823730469,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.8914671676771971,4.0,0.25,0.0,0.0,0.0,1,1,0,0,0.0020691015156303386
Page,4,1,2,3.4036524295806885,0,0,150.7637481689453,424.47650146484375,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.8947539194948921,4.0,0.25,0.0,0.0,0.0,1,1,0,0,0.002125308715215292
Up,2,1,2,3.4036524295806885,0,0,154.16160583496094,424.47650146484375,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.88928471063336,2.0,0.5,0.0,0.0,0.0,1,1,0,0,0.0020321161073096282
Delete,6,1,2,3.4036524295806885,0,0,171.76683044433594,386.48486328125,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.8609472521794975,6.0,0.16666666666666666,0.0,0.0,0.0,1,1,0,0,0.0015797626776629242
End,3,1,2,3.4036524295806885,0,0,171.76683044433594,405.4806823730469,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.8609472521794975,3.0,0.3333333333333333,0.0,0.0,0.0,1,1,0,0,0.0015797626776629242
Page,4,1,2,3.4036524295806885,0,0,169.72486877441406,424.47650146484375,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.8642340039971924,4.0,0.25,0.0,0.0,0.0,1,1,0,0,0.001629336185399079
Down,4,1,2,3.4036524295806885,0,0,173.1227264404297,424.47650146484375,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.8587647951356604,4.0,0.25,0.0,0.0,0.0,1,1,0,0,0.0015472987291305763
½,1,1,2,4.424261569976807,0,0,136.98301696777344,98.39469146728516,0.4424261569976807,3,0,0,0,0,0,0,0,0,0,0,0.9169354540416939,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0.0016215351708811344
1,1,1,2,4.424261569976807,0,0,136.98301696777344,116.66535949707031,0.4424261569976807,3,0,0,0,0,0,0,0,0,0,0,0.9169354540416939,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0.0016215351708811344
2,1,1,2,4.424261569976807,0,0,136.9829559326172,135.61671447753906,0.4424261569976807,3,0,0,0,0,0,0,0,0,0,0,0.9169355522841897,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0.0016215367215625881
3,1,1,2,4.424261569976807,0,0,136.98301696777344,155.24871826171875,0.4424261569976807,3,0,0,0,0,0,0,0,0,0,0,0.9169354540416939,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0.0016215351708811344
4,1,1,2,4.424261569976807,0,0,136.98301696777344,174.20004272460938,0.4424261569976807,3,0,0,0,0,0,0,0,0,0,0,0.9169354540416939,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0.0016215351708811344
